company_id,company_name,alert_reason
PFC,Power Finance Corporation Ltd,High Debt
PFC,Power Finance Corporation Ltd,High Debt
PNB,Punjab National Bank,High Debt
PNB,Punjab National Bank,High Debt
PNB,Punjab National Bank,High Debt
PNB,Punjab National Bank,High Debt
PNB,Punjab National Bank,High Debt
PNB,Punjab National Bank,High Debt
PNB,Punjab National Bank,High Debt
PNB,Punjab National Bank,High Debt
PNB,Punjab National Bank,High Debt
PNB,Punjab National Bank,High Debt
PNB,Punjab National Bank,High Debt
PNB,Punjab National Bank,High Debt
POWERGRID,Power Grid Corporation of India Ltd,High Debt
POWERGRID,Power Grid Corporation of India Ltd,High Debt
POWERGRID,Power Grid Corporation of India Ltd,High Debt
POWERGRID,Power Grid Corporation of India Ltd,High Debt
POWERGRID,Power Grid Corporation of India Ltd,High Debt
POWERGRID,Power Grid Corporation of India Ltd,High Debt
POWERGRID,Power Grid Corporation of India Ltd,High Debt
POWERGRID,Power Grid Corporation of India Ltd,High Debt
POWERGRID,Power Grid Corporation of India Ltd,High Debt
RECLTD,REC Ltd,High Debt
