company_id,year,issue,category,explanation
MARUTI,2015-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
MARUTI,2019-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
MARUTI,2020-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
MARUTI,2021-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
MARUTI,2021-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
MARUTI,2022-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
MARUTI,2022-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
MARUTI,2023-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
MARUTI,2024-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
MOTHERSON,2013-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
MOTHERSON,2014-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
MOTHERSON,2014-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
MOTHERSON,2015-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
MOTHERSON,2015-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
MOTHERSON,2016-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
MOTHERSON,2016-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
MOTHERSON,2017-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
MOTHERSON,2018-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
MOTHERSON,2019-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
MOTHERSON,2020-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
MOTHERSON,2021-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
MOTHERSON,2022-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
MOTHERSON,2022-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
MOTHERSON,2023-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
NAUKRI,2013-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
NAUKRI,2013-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
NAUKRI,2014-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
NAUKRI,2014-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
NAUKRI,2015-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
NAUKRI,2016-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
NAUKRI,2017-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
NAUKRI,2017-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
NAUKRI,2018-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
NAUKRI,2018-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
NAUKRI,2019-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
NAUKRI,2020-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
NAUKRI,2020-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
NAUKRI,2021-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
NAUKRI,2022-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
NAUKRI,TTM,pat_cagr_5yr_flag,TURNAROUND,CAGR edge case handled and documented
NAUKRI,TTM,pat_cagr_10yr_flag,TURNAROUND,CAGR edge case handled and documented
NAUKRI,TTM,eps_cagr_5yr_flag,TURNAROUND,CAGR edge case handled and documented
NESTLEIND,2013-12,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
NESTLEIND,2013-12,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
NESTLEIND,2014-12,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
NESTLEIND,2014-12,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
NESTLEIND,2015-12,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
NESTLEIND,2015-12,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
NESTLEIND,2016-12,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
NESTLEIND,2016-12,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
NESTLEIND,2017-12,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
NESTLEIND,2017-12,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
NESTLEIND,2018-12,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
NESTLEIND,2018-12,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
NESTLEIND,2019-12,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
NESTLEIND,2019-12,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
NESTLEIND,2020-12,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
NESTLEIND,2020-12,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
NESTLEIND,2021-12,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
NESTLEIND,2021-12,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
